ZYKOV;NAZAR;Basic;SU; 658121632;1;0
ZYKOV;NAZAR;Elite+;DT; 356246372;1;0
ZYKOV;NAZAR;Basic;KE; 388423193;1;0
D'YAKOV;RUSLAN;Basic;SU; 525500144;4;1
D'YAKOV;RUSLAN;Elite+;KE; 629925275;4;1
D'YAKOV;RUSLAN;Elite+;DT; 479114128;4;1
D'YAKOV;RUSLAN;Basic;FB; 629903943;4;1
SAKHAROV;DMITRIY;Basic;SU; 727305399;7;2
KISELEV;RODION;Basic;KE; 128159746;9;3
KISELEV;RODION;Elite+;SU; 921612379;9;3
KISELEV;RODION;Basic;DT; 939917337;9;3
NIKOLAEV;ALEXANDR;Basic;KE; 58547979;11;4
NIKOLAEV;ALEXANDR;Elite;DT; 560293421;11;4
NIKOLAEV;ALEXANDR;Elite;FB; 966797673;11;4
NIKOLAEV;ALEXANDR;Elite;SU; 288949592;11;4
TIKHONOVA;EL'VIRA;Basic;DT; 188619426;14;5
KAZANTSEVA;NIKA;Elite;DT; 421620417;15;6
KAS'YANOV;MIKHAIL;Elite+;DT; 35281046;16;7
SAFONOVA;ALINA;Elite+;KE; 918481069;20;8
GROMOV;GRIGORIY;Elite;DT; 893505553;24;9
GROMOV;GRIGORIY;Basic;SU; 421296255;24;9
GROMOV;GRIGORIY;Elite;KE; 526467478;24;9
GROMOV;GRIGORIY;Elite+;FB; 852808171;24;9
MAXIMOVA;NADEZHDA;Elite;FB; 392259724;25;10
FILATOV;SVYATOGOR;Basic;KE; 875636082;29;12
KRASNOV;VYACHESLAV;Elite;SU; 849362379;32;14
KRASNOV;VYACHESLAV;Elite;DT; 966353637;32;14
KRASNOV;VYACHESLAV;Elite+;FB; 550201079;32;14
KRASNOV;VYACHESLAV;Elite;KE; 425846773;32;14
EREMINA;AGATA;Elite;DT; 666253841;33;15
KUZ'MIN;TAMERLAN;Elite+;KE; 19252430;35;16
MARKINA;NELLI;Elite+;FB; 181099937;37;17
PANINA;EL'VIRA;Basic;KE; 685855186;41;18
GONCHAROVA;POLINA;Basic;SU; 911309815;45;20
SOMOVA;VARVARA;Elite;KE; 414640353;46;21
TSVETKOVA;VASILINA;Elite+;SU; 52846911;47;22
TSVETKOVA;VASILINA;Elite+;DT; 819269742;47;22
LEONT'EVA;ANZHELIKA;Elite+;KE; 457265464;48;23
MOLCHANOVA;ALENA;Basic;FB; 953255132;50;24
BOBROV;IGOR';Elite;KE; 863164705;59;25
MAXIMOVA;EL'MIRA;Elite+;KE; 376173350;62;26
MAXIMOVA;EL'MIRA;Elite;SU; 135697541;62;26
VAVILOV;YAN;Elite+;KE; 352145512;65;27
VAVILOV;YAN;Elite+;SU; 811363753;65;27
VAVILOV;YAN;Elite+;DT; 173333313;65;27
VAVILOV;YAN;Elite;FB; 904486190;65;27
AGAFONOV;DEMID;Basic;SU; 449130761;67;29
AGAFONOV;DEMID;Elite;FB; 795635602;67;29
ORLOV;PETR;Elite;KE; 646396736;68;30
MATVEEVA;LIANA;Elite;FB; 12762826;70;31
BELOV;PAVEL;Basic;SU; 197300760;72;33
VORONTSOVA;ALEXANDRA;Elite+;KE; 890236936;74;34
BYCHKOVA;INNA;Basic;SU; 238272601;76;35
BYCHKOVA;INNA;Basic;DT; 926883211;76;35
BYCHKOVA;INNA;Elite+;KE; 6616445;76;35
TUMANOVA;VERA;Elite;FB; 653692654;79;36
TROITSKAYA;OXANA;Basic;SU; 692170004;85;37
TROITSKAYA;OXANA;Elite;FB; 852009344;85;37
TROITSKAYA;OXANA;Basic;KE; 878685070;85;37
PONOMAREVA;ADELINA;Basic;DT; 23130085;87;38
BELYAKOVA;SNEZHANA;Elite;KE; 349422431;96;41
BELIKOV;STANISLAV;Elite;KE; 745336514;97;42
ZYKOV;ZAKHAR;Elite;FB; 12812175;98;43
LEBEDEV;SVYATOGOR;Basic;DT; 649818457;100;44
POLYAKOV;SVYATOGOR;Elite+;FB; 309395202;103;45
BELIKOVA;VERA;Elite;KE; 9253000;105;46
KRAVTSOV;DMITRIY;Basic;SU; 35373033;106;47
